Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
106,1.06,0.697847,0.244998,-0.574692,-0.350308,0.912591,1.714812,-0.379122,0.02331
107,1.07,0.728876,0.321516,-0.545527,-0.260321,0.922387,1.709174,-0.380362,0.032014
108,1.08,0.666937,0.192035,-0.602965,-0.393383,0.911608,1.717954,-0.377021,0.024501
109,1.09,0.714631,0.290953,-0.566821,-0.288726,0.921906,1.71109,-0.379039,0.03205
110,1.1,0.735908,0.350159,-0.536779,-0.218395,0.928518,1.706663,-0.380361,0.031993
111,1.11,0.688334,0.227926,-0.58364,-0.365527,0.911959,1.715914,-0.378526,0.023306
112,1.12,0.724884,0.312463,-0.551659,-0.269412,0.92213,1.70977,-0.379998,0.032063
113,1.13,0.74096,0.362613,-0.526246,-0.206287,0.928651,1.705823,-0.380942,0.032053
114,1.14,0.693368,0.236699,-0.57852,-0.35851,0.912036,1.715414,-0.378886,0.023285
115,1.15,0.727155,0.317197,-0.5481,-0.264989,0.922149,1.709486,-0.380222,0.032072
116,1.16,0.665368,0.189659,-0.604037,-0.395542,0.911537,1.718127,-0.376954,0.024507
117,1.17,0.714253,0.2901,-0.567454,-0.289277,0.921948,1.711133,-0.378963,0.032073
118,1.18,0.654177,0.172046,-0.613117,-0.408093,0.91149,1.719065,-0.376181,0.024487
119,1.19,0.709553,0.280891,-0.574005,-0.296906,0.921998,1.711655,-0.37852,0.032079
120,1.2,0.650853,0.16698,-0.615766,-0.41151,0.911595,1.719296,-0.375936,0.024471
121,1.21,0.708593,0.279109,-0.575425,-0.298127,0.922091,1.711737,-0.378418,0.032052
122,1.22,0.650554,0.166945,-0.616124,-0.411461,0.911704,1.71937,-0.375934,0.024527
123,1.23,0.708739,0.280087,-0.575297,-0.297109,0.922213,1.711722,-0.378474,0.032024
124,1.24,0.651298,0.168266,-0.61585,-0.410154,0.911796,1.719261,-0.375981,0.024455
125,1.25,0.709406,0.281398,-0.574492,-0.295832,0.922305,1.711618,-0.378512,0.032042
126,1.26,0.652416,0.169621,-0.615505,-0.408334,0.911923,1.719279,-0.375996,0.024456
127,1.27,0.710055,0.28267,-0.574024,-0.293967,0.922378,1.711609,-0.378571,0.031993
128,1.28,0.735212,0.349296,-0.538707,-0.217372,0.929045,1.706713,-0.380199,0.032032
129,1.29,0.689899,0.231273,-0.582972,-0.36152,0.912499,1.715698,-0.378544,0.023277
130,1.3,0.72692,0.3175,-0.548955,-0.263495,0.922613,1.709414,-0.38011,0.032085
131,1.31,0.742713,0.367981,-0.522487,-0.199937,0.929073,1.705424,-0.381105,0.032057
132,1.32,0.696768,0.242996,-0.57551,-0.3525,0.912413,1.715004,-0.379071,0.023296
133,1.33,0.72939,0.322707,-0.544598,-0.259352,0.922498,1.709084,-0.380357,0.032084
134,1.34,0.668855,0.19491,-0.602,-0.390177,0.911882,1.717851,-0.377048,0.024504
135,1.35,0.716401,0.294561,-0.564983,-0.284249,0.922195,1.710896,-0.379097,0.032012
